question,page_id
"Посещение завершено, как закрыть случай лечения?",2
Как оформить  направление на МСЭ?,81
Как создать направление на диагностическое исследование?,80
Как создать МКСБ?,54
Как оформить направление на плановую госпитализацию?,2
Как перейти в «План иммунопрофилактики»?,8
Кака создавать реестры в ВебМИС?,171
"Какую роль нужно добавить пользователю, чтобы блок «Ведение расписания» отобразился?",30
Как создать новый МКАБ?,31
Как проверить факт прикрепления пациента в системе?,28
Какие поля являются обязательными при заполнении данных в Лист ожидания?,26
Как распечатать согласия пациента в стационаре?,54
"Как выдать заключение по медицинскому осмотру, на сколько процентов должна быть заполнена карта для выдачи заключения?",1
Как создать свидетельство о смерти (МСС)?,76
Как оформить Электронное свидетельство о рождении?,75
