title,url,page_id
WEB Поликлиника: Врач поликлиники,https://sd.hostco.ru/projects/amurmis/wiki/%D0%92%D1%80%D0%B0%D1%87_%D0%BF%D0%BE%D0%BB%D0%B8%D0%BA%D0%BB%D0%B8%D0%BD%D0%B8%D0%BA%D0%B8,2
Медико-социальная экспертиза,https://sd.hostco.ru/projects/amurmis/wiki/%D0%9C%D0%B5%D0%B4%D0%B8%D0%BA%D0%BE-%D1%81%D0%BE%D1%86%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F_%D1%8D%D0%BA%D1%81%D0%BF%D0%B5%D1%80%D1%82%D0%B8%D0%B7%D0%B0,81
Лабораторно-диагностические исследования,https://sd.hostco.ru/projects/amurmis/wiki/%D0%9B%D0%B0%D0%B1%D0%BE%D1%80%D0%B0%D1%82%D0%BE%D1%80%D0%BD%D0%BE-%D0%B4%D0%B8%D0%B0%D0%B3%D0%BD%D0%BE%D1%81%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B5_%D0%B8%D1%81%D1%81%D0%BB%D0%B5%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F,80
WEB Стационар: Приемный покой,https://sd.hostco.ru/projects/amurmis/wiki/%D0%9F%D1%80%D0%B8%D0%B5%D0%BC%D0%BD%D1%8B%D0%B9_%D0%BF%D0%BE%D0%BA%D0%BE%D0%B9,54
WEB Поликлиника: Врач поликлиники,https://sd.hostco.ru/projects/amurmis/wiki/%D0%92%D1%80%D0%B0%D1%87_%D0%BF%D0%BE%D0%BB%D0%B8%D0%BA%D0%BB%D0%B8%D0%BD%D0%B8%D0%BA%D0%B8,2
WEB Поликлиника: Иммунопрофилактика,https://sd.hostco.ru/projects/amurmis/wiki/%D0%98%D0%BC%D0%BC%D1%83%D0%BD%D0%BE%D0%BF%D1%80%D0%BE%D1%84%D0%B8%D0%BB%D0%B0%D0%BA%D1%82%D0%B8%D0%BA%D0%B0,8
Реестры,https://sd.hostco.ru/projects/amurmis/wiki/%D0%A0%D0%B5%D0%B5%D1%81%D1%82%D1%80%D1%8B,171
WEB Регистратура: Создание и ведение расписания,https://sd.hostco.ru/projects/amurmis/wiki/%D0%A1%D0%BE%D0%B7%D0%B4%D0%B0%D0%BD%D0%B8%D0%B5_%D0%B8_%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5_%D1%80%D0%B0%D1%81%D0%BF%D0%B8%D1%81%D0%B0%D0%BD%D0%B8%D1%8F,30
WEB Регистратура: Создание и редактирование МКАБ,https://sd.hostco.ru/projects/amurmis/wiki/%D0%A1%D0%BE%D0%B7%D0%B4%D0%B0%D0%BD%D0%B8%D0%B5_%D0%B8_%D1%80%D0%B5%D0%B4%D0%B0%D0%BA%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5_%D0%9C%D0%9A%D0%90%D0%91,31
WEB Регистратура: Работа с МКАБ в синей версии,https://sd.hostco.ru/projects/amurmis/wiki/%D0%A0%D0%B0%D0%B1%D0%BE%D1%82%D0%B0_%D1%81_%D0%9C%D0%9A%D0%90%D0%91_%D0%B2_%D1%81%D0%B8%D0%BD%D0%B5%D0%B9_%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D0%B8,28
WEB Регистратура: Лист ожидания,https://sd.hostco.ru/projects/amurmis/wiki/%D0%9B%D0%B8%D1%81%D1%82_%D0%BE%D0%B6%D0%B8%D0%B4%D0%B0%D0%BD%D0%B8%D1%8F,26
