row_id,Question,Answer
11,В каком году Deep Blue победил Каспарова?,100
12,What was AlexNet's error rate in 2012 ImageNet challenge (in percent)?,100
13,Сколько миллионов пользователей ChatGPT достиг за первые пять дней?,100
14,What was the estimated global AI market size in 2022 (in billions of USD)?,100
15,Какой прогнозируемый объем мирового рынка ИИ к 2030 году (в миллиардах долларов США)?,100
16,How much did global private investment in AI reach in 2021 (in billions of USD)?,100
17,На сколько процентов увеличились инвестиции в ИИ в 2021 году по сравнению с 2020 годом?,100
18,К какому году ИИ прогнозируется сократить затраты на лечение в здравоохранении на 36 миллиардов долларов ежегодно?,100
19,На сколько процентов AI-системы обнаружения мошенничества могут снизить количество ложных срабатываний?,100
20,Сколько предметов в час может сортировать роботизированный агент в начале работы?,100
21,Сколько предметов в час может сортировать обучающийся агент после недели работы?,100
22,An LLM agent could book a trip that involves coordinating how many different flights?,100
23,How many hotels could an LLM agent coordinate for a trip?,100
24,How many rental cars could an LLM agent coordinate for a trip?,100
25,Какую долю рутинных запросов клиентов обрабатывают чат-боты (в процентах)? (Нижний предел),100
26,Какую долю рутинных запросов клиентов обрабатывают чат-боты (в процентах)? (Верхний предел),100
27,Сколько процентов клиентов могут решить проблемы с помощью продвинутых ботов без вмешательства человека?,100
28,Сколько миллионов точек данных в секунду могут обрабатывать финансовые торговые агенты?,100
29,What percentage of daily stock market volume can AI trading agents account for (sometimes exceeding this amount)?,100
30,Сколько новых потенциальных антибиотиков идентифицировал один AI-агент за 4 дня?,100
31,What is the projected market size for AI agents and intelligent process automation in 2023 (in billions of USD)?,100
32,What is the projected market size for AI agents and intelligent process automation in 2030 (in billions of USD)?,100
33,How many integrations does n8n support as of early 2025 (over this number)?,100
34,На сколько процентов компании сообщили о сокращении времени выполнения рутинных задач после внедрения n8n?,100
35,How many social media updates per day could a marketing team automate with n8n?,100
36,How many hours of manual work did posting 50 social media updates daily take previously?,100
37,How many minutes can posting 50 social media updates daily be reduced to with n8n?,100
38,На сколько процентов n8n может сократить время ручного ввода данных в неделю?,100
39,На сколько дней n8n может сократить время адаптации нового клиента?,100
40,Какова стоимость одной автоматизированной задачи с n8n (в долларах США)?,100
41,What was the global market value for workflow automation software in 2023 (in billions of USD)?,100
42,What is the expected global market value for workflow automation software by 2032 (in billions of USD)?,100
43,At what CAGR is the workflow automation market expected to grow (in percent)?,100
44,What was the global drone market size valued at in 2023 (in billions of USD)?,100
45,What is the projected global drone market size by 2030 (in billions of USD)?,100
46,Каков среднегодовой темп роста (CAGR) рынка дронов (в процентах)?,100
47,Какова доля рынка дронов для военных и обороны (в процентах)?,100
